Reference Year,Basis Type,Season,State,Crop,Human Labour Cost (₹/ha),Seasonal Avg Daily Wage (₹/day),Yield (qtl/ha),Wage Reference Period,Human Labour Source,Wage Source,Yield Source,Source Report,Annex 5.6 Report Page,Notes
2021-22,Actual,Kharif,Maharashtra,Arhar (Tur),36277,328.7,19.91,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",244,
2021-22,Actual,Kharif,Maharashtra,Bajra,30848,328.7,26.34,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",234,
2021-22,Actual,Kharif,Maharashtra,Cotton,37228,328.7,12.73,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",271,
2021-22,Actual,Kharif,Maharashtra,Groundnut,49519,328.7,11.74,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",257,
2021-22,Actual,Kharif,Maharashtra,Jowar,18340,328.7,10.76,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",231,
2021-22,Actual,Kharif,Maharashtra,Maize,27726,328.7,57,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",239,
2021-22,Actual,Kharif,Maharashtra,Moong,20503,328.7,8.09,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",248,
2021-22,Actual,Kharif,Maharashtra,Paddy,39273,328.7,20.55,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",226,
2021-22,Actual,Kharif,Maharashtra,Soybean,18133,328.7,16.08,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",262,
2021-22,Actual,Kharif,Maharashtra,Urad,19157,328.7,8.06,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",253,
